Question,Class
Fitch Style Deduction in Non-Logic Classes,maths
Can 5 - 3a be described as five minus three times a?,maths
The two paradigms of seeing a functions,maths
Why is calculus important for pre-service Math basic school teachers?,maths
"Best natural language s  for conveying, conceptualizing, teaching, understanding, and learning Probabilistic & Statistical concepts & theory?",maths
Is there any way of explaining the Cayley/Beltrami–Klein metric to undergrads?,maths
What value is there in requiring students to answer word problems in complete sentences?,maths
Manipulative materials to teach functions,maths
Which books on geometry and topology are best for teaching an intro graduate course?,maths
Lowercase vs. uppercase letters for matrix entries,maths
Algorithm vs guidelines for choosing axes divisions when graphing data,maths
Should we require students to take notes in class?,maths
Examples of random variables that are measurable with respect to a strict subset of P ? ,maths
Finite sum of infinite series,maths
"What should I do when I, as a math tutor, use incorrect verbal notation?",maths
What do you use to make your course materials?,maths
What is a good pacing for a Calculus 1 undergraduate course?,maths
Why is there variation in the meaning of  Standard form  for a quadratic?,maths
Help needed to find 7th & 8th grade completed math samples,maths
What do you do in order to drag out lectures?,maths
Encouraging students to see value in things that can t be measured,maths
How to explain the concept  Without loss of generality   through examples ?,maths
Potential topics for a university level mathematical thinking module,maths
Is this motivation for the concept of a limit a good one?,maths
Online math quiz  students make short video explaining solution,maths
Point Deductions - Exams and Quizzes,maths
"When dealing with sequences, should we teach students to start at 0 or 1?",maths
Quality of a solution in mathematics,maths
English version of the  Spécialité Mathématiques  French baccalaureate course  for a Ukrainian refugee ?,maths
Suggestions for Virtual Blackboard?,maths
"How to explain to a ~12?1612?16 year-old student who is weak at maths, that  38×27×14=27×14×38 38×27×14=27×14×38?",maths
"Problem set recommendations for a student who has taken classes through Calc III, but has very weak fundamentals",maths
How to introduce the use of Greek letters in high school?,maths
Is patching up a student s poor solution better than providing a good solution?,maths
Should one include the unit in the variable? E.g. should one write x?=30?x?=30? or x=30?x=30??,maths
Example of a phenomenon from real life where there is a limit going to infinity,maths
Best Free Direction Field Plotter?,maths
"When teaching online, how does the teacher teach visual concepts?",maths
What is the justification to teach the  redundant  use of parentheses in multiplications?,maths
Research into how students read algebraic expressions,maths
"Are there examples of central symmetry, without axial symmetry, in nature?",maths
How to teach using brackets in sums?,maths
Teaching math too soon in middle school and high school,maths
"What implication arrows, if any, should I require in teaching?",maths
Law of large numbers as a middle school topic?,maths
Composite functions,maths
Applications of Triangle Inequality for high-school students?,maths
Lateral thinking in mathematics,maths
Definite integrals with equal limits,maths
Online platforms for teachers to discuss matters related to mathematics,maths
Is there ADA-compliance certification for mathematics text books?,maths
How do/should administrators estimate the cost of producing an online introductory mathematics class?,maths
Pi Day is approaching  What are some interesting math questions whose answer is exactly ???,maths
What to cover on a first ordinary differential equations module?,maths
What should I call the  important  values of x?,maths
Homework in a Flipped Classroom,maths
"When writing log, do you indicate the base, even when 10?",maths
Geometrical approaches in algebra,maths
Impact of GPT4 and future AI development on math curricula in schools,maths
Teaching Clifford Algebra Instead of Imaginary/Complex Numbers,maths
Parentheses around negative numbers,maths
What is an example of something you might see outside of math class and how would you model that thing as a set?,maths
Best category theory textbook for undergraduate students,maths
Interpreting the derivative as instantaneous rate of change in real phenomena,maths
A better example of a logical implication,maths
Seeking Advice on Allowing Students to Skip a Quiz in Linear Algebra Course,maths
What is the best didactical way to read decimal numbers?,maths
Triples or triplets in Pythagoras theorem,maths
Comparison of texbook for  how to write proofs ,maths
Simple examples of how a good notation or diagram can help to solve math problems,maths
simpson paradox in classroom  reports?,maths
What are  must read /classical refences on data aggregation/disaggregation in statistics?,maths
What is the terminology for integers with the same oddness or evenness?,maths
Differentiation in integer solutions,maths
Are Error-Analysis Lessons Effective?,maths
Why don’t we teach a topological view of continuity instead of epsilon-delta?,maths
Importance of etymological approach to terminology,maths
congruency  how widely used?,maths
What is the origin of  Core Assessment  for freshman university classes?,maths
Assigning essays in take home exams,maths
Why do we teach linear algebra in precalculus classes?,maths
Good analogies for teaching error correcting codes,maths
‘Induction on’ vs ‘Induction with respect to’ in math,maths
Is it harmful to use the word  Cancel ?,maths
Adjusting a Bonus Points System to More Equitably Benefit Struggling Students,maths
Infinite descent method,maths
Joint Teaching of a First Year Engineering Maths Class,maths
Are these explanations of variance and covariance intuitive?,maths
Programming and computation-focused textbook for introductory linear algebra,maths
Partitioning objects in combinatorics,maths
Demarcated  Proof Idea ,maths
Any meaning/interpretation for 10!+11!+12!+… =e 10!+11!+12!+… =e   sum of reciprocals of factorials ?,maths
Whole numbers as sets vs abstracted properties of sets,maths
how to read binary numbers?,maths
What is the dimension of RR over QQ?,maths
Where to distribute free math ed materials for informal settings?,maths
Is it better to teach category theory in the background of type theory than set theory?,maths
Pythagoras and Trigonometry sequencing,maths
do you know a mind-boggling/curious historical facts that will inspire and attract young people?,maths
How to explain that integral calculate areas?,maths
Sources on inequity in precalculus sequence,maths
"Are there differences between graphs, diagrams and charts?",maths
What s it called when multiple concepts are combined into a single problem?,maths
A Question about Answer Keys,maths
Models for spherical geometry,maths
Limitations of applying the factor theorem,maths
Is there a preferred way to format a negative exponent?,maths
How to convince a student without calculus that great circles are geodesics in a sphere?,maths
Geometric line  constructing fractions,maths
How to properly define volume for beginner calculus students?,maths
Is it correct to state that a cone has no faces?,maths
Correcting how a student writes symbols,maths
What is important to keep in mind in grading proof-based courses?,maths
What are some good books on mathematical pedagogy?,maths
Recommended online software for Euler method/ODEs,maths
Why are negative numbers introduced before quotients in the real number subsets?,maths
Looking for web app resources for symbolic Gaussian elimination,maths
Utillizing Lakatos   Proofs and Refutations  in Secondary Education,maths
Graphing lines by finding integer points,maths
Is  For all xx  an abuse of language in math?,maths
The key didactical ideas on mathematical modelling?,maths
Does the  Middle School Mathematics domains  refer to  I  through  V  topics?,maths
Naming the procedure of converting the place values of digits,maths
What benefit is there to obfuscate the geometry with algebra?,maths
Geometrical verifications for Algebraic formulae,maths
What can be considered as common knowledge in an online Mathematics course?,maths
"Plainly by eye, how can 16 year olds visually distinguish b? ?r? b??r? from |b? |?|r? ||b?|?|r?|?",maths
Sourcing and verifying calculus applications,maths
Is there a way to extend the analogy that fractions means  x out of y  to show that fractions are also dividing?,maths
What are some common errors and misconceptions about the Pythagorean Theorem?,maths
What would be a good pacing for teaching this calculus 2 course?,maths
How should an educator answer a student who asks  Can this theorem be deduced in other systems of set theory? ,maths
 Real life  examples of limits of functions at finite points,maths
"How to explain why we can’t factor xn+ynxn+yn for all natural numbers n, to 13 year olds?",maths
"How to motivate xn?yn? x?y  xn?1+xn?2y+...+xyn?2+yn?1 xn?yn? x?y  xn?1+xn?2y+...+xyn?2+yn?1 , to 13 year olds?",maths
"To 17 year olds, how can I explain that two numbers with arbitrarily small difference are equal?",maths
When is it appropriate to warn about the difficulty of a subject?,maths
Is this a viable Calculus 1 question?,maths
Natural origins or learned habit  Why do students skip concepts before applications?,maths
Identifying Trigonometrical proofs,maths
Basic skill requirement suspension,maths
Cognitive activation vs cognitive load reduction,maths
"Why do most Analysis textbooks overlook, and fail to teach delta-epsilon proofs, using the K-? principle?",maths
Idea of using LLMs to help communicate ideas in math,maths
What are some  deep  questions to explore in elementary school math?,maths
Examples of Financial Institutions that Compute Interest Atypically?,maths
Online Probability Simulation for Compound Events,maths
"How can I teach intuition why ‘If P then Q’ and ‘P only if Q’ mean the same, to first year undergraduates?",maths
Summer or Semester Programs which bridge to Graduate Mathematics,maths
Importance of complex numbers knowledge in real roots application,maths
Is there a standard convention for interpreting ambiguous absolute value expressions?,maths
How can we explain intuitively the convergence and divergence of these two series?,maths
Does a proof by induction have to explicitly refer to the principle of mathematical induction?,maths
What to do with  wild goose chase  or  quantum leap -types of incorrect solutions when you ask students to prove/show something?,maths
Help finding a YouTube channel for Linear Algebra,maths
 Tools   literarily  for solving linear or quadratic equations,maths
Problem of the Week for College Students,maths
ADHD superfocus and motivation for mathematics,maths
Examples for advanced math courses based on measurable learning objectives,maths
Topological fun facts for high school students,maths
How to mention a long theorem in a presentation/beamer,maths
Best practices for Proof Revision/ Proof Portfolio?,maths
OER text for the mathematics of fair division,maths
Whether to tell students how difficult  you think  a problem is,maths
How can we motivate that Newton s method is useful?,maths
Infinite descent method in geometry,maths
What is the terminology for  self-referral  integrals in calculus?,maths
Sources of sample data for regressions,maths
About a difficult exercise for 12 years pupils,maths
Applications of High School Geometry,maths
Effectiveness of Requiring Students to Repeat Proofs Presented in Class,maths
What theorems from single-variable calculus break down in the multi-variable context? ,maths
"What are pros and cons of requiring students to create their own math questions, and what are some tips to make it work well?",maths
Comparison of two ways to introduce translation to 12-14 year olds,maths
Understanding common multiples,maths
Seeking Advice on Incorporating Online Discussions into Course Grading,maths
Is it a good idea to give partial points in grading,maths
Dominance of connectives  Why do we teach this?,maths
Why is a+b=b+aa+b=b+a?,maths
Real-World Problems for Teaching Extrema and Derivative Tests in STEM Education,maths
How to assess students in real analysis?,maths
"When teaching an upper-level proof based course, what criteria do you use to determine which and how many problems to assign?",maths
"How to prove, without the LOTUS formula, to student that V[aX+b]=a2V[X]V[aX+b]=a2V[X]?",maths
"How can graduates learn and apply university-level math, but fail to solve competition problems?",maths
Having students assess what problems they re ready for,maths
Math textbook for secondary school using Logo like syntax,maths
Generating function example,maths
Math textbook for secondary school using Logo like language,maths
Book recommendations for Math for Biochemistry Course,maths
Math tools for restructured lectures,maths
Is there a mathematics core assessment rubric?,maths
How to grade a flipped class to improve participation and attendance,maths
Earliest real-world uses of Calculus and Linear Algebra,maths
Inner voice when reading mathematics,maths
What skills do algebra teachers wish their students had mastered before taking algebra?,maths
Producing defective matrix examples,maths
Would you correct grading mistakes downwards if there is a mistake in grading?,maths
Correct notation of a Sample space,maths
"Which cognitive psychology findings are solid, that I can use to help my students?",maths
Why can t I teach that picking  un popular integers doesn t lower Probability of winning lotteries?,maths
How to justify formula for area of triangle  or parallelogram ,maths
What are signs your high school algebra II  arithmetic  course plan focuses heavily on the first half and neglects depth in the second half?,maths
Making an online math course  interactive ,maths
What kind of sequence is between an arithmetic and a geometric sequence?,maths
How to choose a textbook that is pedagogically optimal for oneself?,maths
Does this explanation of integration and the Fundamental Theorems of Calculus make any sense?,maths
Teaching students how to check the validity of their proofs,maths
Question on implementation of PBL  problem or project-based learning  in Linear Algebra course,maths
Proof that ee is finite,maths
Explaining Arithmetic Progression,maths
Why are volumes of revolution typically taught in Calculus 2 and not Calculus 3?,maths
"Intuitively, what does the 11 mean in ab=1 ba ab=1 ba ?",maths
Order of function transformations,maths
Hard PreCalculus Problems,maths
What is the correct math term for  same form ?,maths
Difference between pre-algebra and early algebra in primary school teacher education,maths
Enhancing mathematical proof skills using AI  in university teaching ,maths
The origin of  concave up  and  concave down ,maths
Solve 1<21<2. Does it make sense to ask this?,maths
Applications of line and surface integrals where the underlying space is not the physical space,maths
chaining implications and equivalences in proofs,maths
Where to position the carried integers in long multiplication workings?,maths
Notation yy vs y x y x  for differential equation,maths
Formative alternative to midterms for a large class,maths
Book Recommendations Similar to Blanchard s Differential Equations,maths
Convincing the contrapositive is equivalent,maths
Problem involving vectors and surfaces using analogy,maths
Improving Retake Strategies for Proof-Based Quiz Problems,maths
The Undergraduate Responsibility Gradient,maths
Looking for examples from the MCMC family of ideas,maths
Best way to find out what math topics a person struggles with when tutoring,maths
"Teaching new stats students confidence intervals, hypothesis testing, and other general techniques for inference",maths
What are some strategies to remedy and accommodate dysgraphia?,maths
Workshop about ODEs and connected rates of change  A-levels ,maths
calculus without analytic geometry,maths
How to engage low-level students?,maths
How to respond to “solve this equation” in a basic algebra class,maths
What is most motivating way to introduce Fermat s Little Theorem,maths
Calling on students by name  who do not volunteer  in math classes,maths
Is  estimating  still considered a valuable skill?,maths
Addressing fundamental math errors,maths
What is the name of this discipline in mathematics education?,maths
Constructive refutation of student misconception,maths
Difference between whole numbers and decimal numbers,maths
Is induction or recursion easier to understand?,maths
Can mathematics be learned by ONLY solving problems?,maths
Problem  seeing  the perimeter of a figure,maths
Is it to the students  advantage to learn the language of infinitesimals?,maths
How can I convince my brightest student of Cantor s theory?,maths
Surrounding a subject and strangling it to death versus concentrating on the main point,maths
Math for Social justice curriculum,maths
Teaching Completing the Square,maths
Dealing with Resisting Students,maths
Is there a resource that formally develops the topics of elementary algebra?,maths
How to explain how to get an end point of a segment from the other end point and it s midpoint?,maths
How can we focus students on the various data types in multivariable calculus?,maths
What does the research say about direct instruction vs. student centered approaches,maths
Course of action with 13 year old with weak sense of number and operations,maths
How do you explain straightness to a 5-year-old?,maths
Unique steps leading to a non-unique answer,maths
Difficulty with word problem interpretation,maths
How do you explain the whole integer and fractions subject to a kid in 6th grade?,maths
How to explain Chinese remainder theorem?,maths
 Seeing  GCD and LCM in Word Problems,maths
Stating identity is not the same as knowing value,maths
Motivation for Fibonacci  Bees,maths
Cognitive traps in very early set theory,maths
Problem based learning  PBL  for pupils with educational difficulties,maths
Simple initial value problems - pros and cons of different methods,maths
what are some surprising result of math for a kid?,maths
How to teach students the value of concrete counterexamples?,maths
How to teach a student algebra who misses too much previous knowledge?,maths
What can I teach a talented student who is enthusiastic about math?,maths
How to convince the following probability problem to highschool student?,maths
How to teach real analysis?,maths
High School Math Course focused on Sports,maths
Tips for choosing coordinates of three points such that the coordinates of the orthocenter are integers,maths
"How to write variables on the board, which are supposed to be italicised?",maths
Why do no students know to change the limits of integration when doing substitutions?,maths
How to teach calculus effectively to non-math  and noisy  students?,maths
Exponents with Negative Base  with or without Parentheses,maths
Pedagogical advice/articles for graduate student teaching assistants,maths
How to Write Steps of Solving Equations?,maths
How to teach Leibniz and Newton s notation,maths
Resources on solving systems of polynomial equations in multivariable calculus setting,maths
In what curricula are  rectangles  defined so as to exclude squares?,maths
Shifting function graphs  writing vertical offset on the y-side?,maths
Helping students who make no effort to figure things out for themselves,maths
How to correct a wrong mental picture of the limit?,maths
Motivation for uniform continuity,maths
Algebra best practices for students,maths
Make a matrix algebra course  1st university year  more  project-based ,maths
"Subtraction using Addition  Austrian Method , is it useful to learn this method instead of the usual  borrow  method?",maths
How can I help a student who has a  wrong  kind of enthusiasm?,maths
Calculus via a constructivist approach,maths
"Analogies or explanations for duality, at the college sophomore level",maths
How to teach ordinary differential equations to good students?,maths
Can or should students do research in standard major math courses,maths
Middle / High School Math Teachers and LaTeX,maths
Ideas for high-school proof class?,maths
What is the point of teaching variance?,maths
Adding irrelevant humorous questions to a quiz exam,maths
Method of Showing Algebraic Work,maths
Should students teach other students?,maths
Targeted group game for 8 or 9 players,maths
Small  new things  to confront talented high-schoolers with,maths
Polar form before Cartesian form when introducing complex numbers,maths
Encouraging students to learn probability,maths
Online quiz with slightly different questions for each student,maths
Downloadable MCQs on Mathematics,maths
Good  natural  motivational examples for quadratic equations,maths
Geometry sample tests,maths
How to correct visualization of mathematical expressions?,maths
Students understand during course but can t solve exam,maths
Are there standard questions for testing how an instructor grades calculus?,maths
What are some suggestions fo teaching statistics concepts to struggling college students?,maths
Don t these word problems seem designed to be confusing?,maths
Practical ways to check if a student has mastered a particular topic,maths
How to help my tutoring students study between sessions,maths
What are tutoring strategies for students struggling in math?,maths
Line Integral Motivation,maths
Open Rings-First Abstract Algebra Text,maths
Presenting ways to find a resultant force,maths
Making modular arithmetic interesting for school kids,maths
Difference between high school and college calculus courses,maths
Fun classroom exercise for mental rotation,maths
A proof based Multivariable Calculus and Linear Algebra,maths
Formats for Calculus instruction at different colleges and universities,maths
Teaching methods to make a weak student good at math?  particularly student from social science background ,maths
Mainstreaming math student,maths
Duodecimal by Stealth,maths
A system for students to fill in gaps throughout a math degree,maths
A Markov chain demonstration that doesn t require computers,maths
Recommended list of things calculus students should be required to memorise?,maths
How can I help a student who is constantly struggling in an honors Algebra II  high school  class,maths
Easy examples of visualizing passive transformations in the plane?,maths
Practical Implication for Correlation  Lay individual vs Scholarly Group ,maths
How to balance the difficulty level and speed of lectures for students of very different levels?,maths
Which examples should we mention when teaching the concept of derivatives?,maths
Would teaching nonstandard calculus in an introduction calculus course make it easier to learn?,maths
Activities for calc based physics,maths
"How does knowing more about mathematics help one s teaching of lower level course, such as calculus?",maths
Why do some students struggle so much with fractions?,maths
 Amplitude  of Tan and Cot functions,maths
What software and technology could help this deaf and blind student do math?,maths
Learning proofs in introductory analysis courses,maths
"Vocabulary for giving just numbers, not a full answer",maths
Group theory by geometry,maths
How to explain what s wrong with this application of the chain rule?,maths
Notation for change of basis matrix,maths
"Revision Lecture, what are the aims?",maths
Geogebra for Blind People,maths
Could students be taught the concept of rational numbers the same way as in the Formal construction section of the Wikipedia article rational number?,maths
How to make students comfortable with the use of axiom of choice in analysis,maths
Complex numbers and encourage justification,maths
Why is it difficult to freely change between points and vectors?,maths
Curriculum for Advanced 6th Graders,maths
Use of Lockhart s *Measurement* in a course?,maths
Are there textbooks that cover most etymological aspects of mathematics?,maths
Resources for teaching calc III,maths
"Propositional and predicate logic, with quantifiers  Is there any research when it is ideal to explicitly teach in mathematics education?",maths
Corequisite remediation for  Mathematics for Future Elementary Teachers ,maths
Delivering mathematics lectures via tablet and projector,maths
Adding things to bunches of things vs multiplication,maths
The most transparent exposition of Bayes  Theorem,maths
An alternative to  two column  geometry proofs,maths
Why do you need to distinguish between apparently identical objects in probability?,maths
How to choose random student to answer questions?,maths
A different symbol for the indefinite integral/antiderivative?,maths
Applied ODEs for Numerical Methods,maths
Quote to show students don t have to fear making mistakes,maths
How to explain that the sums of numerators over sums of denominators isn t the same as the mean of ratios?,maths
Are there mathematical proof info-graphics?,maths
How to teach sketching a parametric curve?,maths
Examples of informal explanations that cause misconceptions,maths
Symmetry in polar functions - how to explain,maths
Teaching a student who refuses to learn,maths
Introductory exercise for the addition of large natural numbers,maths
An intuitive explanation of l Hôpital s rule for ?/?,maths
Developing abductive  problem-solving  skills,maths
Using video games as an introductory tool for game theory? Can video games illustrate game theoretic concepts?,maths
"Fun, impressive, or compelling examples of scaling of the standard deviation like 1/n???1/n?",maths
"Is short division taught these days and if not, why not?",maths
Notation in the definition of matrix multiplication,maths
Are there any proofs of Euler s Formula that do not rely on calculus?,maths
Introducing quadric surfaces in high school,maths
Algebra/trig/precalculus review questions that elicit common student errors,maths
Fear of 3-dimensions,maths
Tips and References for a 15 days Course on Math,maths
Adult Learners Returning to College Level Math,maths
Taxonomy of bad proofs,maths
How do you plausibly explain that the geometric and the coordinate expressions for the scalar product are equivalent?,maths
Making epsilon-delta proofs not just precalculus,maths
Students writing f x2+1 f x2+1  when they probably mean f x =x2+1,maths
What would you recommend for the math thinking course for school?,maths
"A fun, one-day topic for a vector analysis course",maths
Online Whiteboard Application with Simple Latex Support,maths
Tablet whiteboard app w e-pencil,maths
Most popular setups for recording video lectures for pandemic,maths
Math circles while under quarantine pandemic,maths
help thinking of conceptual or open-ended Intro Algebra and Intermediate Algebra test questions pandemic,maths
The Future of Worksheets - will they still be used or abandoned?,maths
Online testing platform,maths
Resources for improving computational skills at the high school/university transition,maths
Ideas and/or references for projects for a business calculus course,maths
Fun set theory for kids,maths
Interesting things you learned while grading?,maths
Proof by contradiction - more than one case,maths
How to motivate an adolescent who has fallen behind in conceptual development?,maths
Applications of unreducible fractions in Basic School,maths
self-reliance and psychology in learning math,maths
"How, now, shall we teach math online due to pandemic",maths
Do you mention the continuity and the differentiability of the empty function,maths
What is  mastery  in a mathematical topic?,maths
How much more skilled in the topic should you be in order to teach the topic?,maths
How can teachers warn students about common mistakes without causing the student to make the mistake?,maths
Do you know of any third-party online math-friendly testing software?,maths
"When evaluating the limit of f x,y f x,y  as  x,y  x,y  approaches  x0,y0  x0,y0 , should we consider only those  x,y  x,y  in the domain of ff?",maths
What strategy for picking convergence tests for series do you teach?,maths
How to layout a solution to a trig equation?,maths
What is a good way to teach Taylor expansion of multi-variable calculus?,maths
How to make maths explainer videos?,maths
Future educators writing nonsense questions,maths
Math activities for fast-finishers,maths
Practical case real world for solving with system of 2 equations,maths
How long should we spend on teaching students the basics of subject?,maths
How can I teach 300200300200 to 10 years old students while s\he knows canceling the zeroes rule?,maths
Trying to explain understand?  combinations,maths
Transition into a non-explicit sample space world,maths
What to do when uncertain about a question while tutoring,maths
Relational understanding for a specific topic,maths
Cautionary tales for Gaussians/the central limit theorem?,maths
"Have you ever completely covered every topic in a textbook, and if so, which text?",maths
Best Touchscreen Laptop for Tutoring During COVID Pandemic,maths
"Teaching linear algebra, wacom tablet display of coordinate system, eigenvectors, markov chains",maths
Appropriate context for teaching derivative  undergraduate/graduate ,maths
Recommendation for cheap practical graphics tablet?,maths
Setting up a new Ximera course with randomized values in problems,maths
Teaching calculus in AP without the formal definition of the derivative,maths
Is there online geometric construction software that models physical constructions due to pandemic?,maths
Am I responsible to help a student who does not understand/know some prerequisites of a course?,maths
Writing mathematics in real time for lectures using Latex,maths
Are differential equations considered calculus and included in a calculus class or is it its own class?,maths
A video game for teaching the concept of a mathematical proof,maths
How do you teach students about the concept of a proof?,maths
Why do we write numbers with decreasing place values?,maths
Why is the concept of injective functions difficult for my students?,maths
Single variable complex analysis textbook which uses differential forms,maths
Weekly quizzes as an alternative for midterms? What is this called?,maths
Advice on teaching abstract algebra and logic to high-school students,maths
US High School Geometry  What are all the  reasons  allowed in two column proofs?,maths
How can I give feedback that is not demotivating?,maths
Complex analysis books/resources where solutions are difficult to find,maths
Do my students know elementary algebra  do they just use online calculators or external help  and is this ok?,maths
Defining mathematics to primary/elementary school teachers,maths
Finding the Balance in a Math Question  Teaching ,maths
Differing Choices of ?? in a Limit,maths
short teaching demo on logs  but by someone who uses active learning,maths
Is AB¯¯¯¯¯¯¯¯?BA¯¯¯¯¯¯¯¯AB¯?BA¯ usually taught as an instance of the symmetric property of congruence?,maths
"I need strategies for tutoring a bright, motivated student currently taking college algebra who just doesn t seem to retain the things I teach",maths
Difficulty in explaining sample space,maths
Worth introducing a mandatory short module on LATEXLATEX into a mathematics degree?,maths
Do any tools exist that convert  pretty print  equations into  inline text  equations?,maths
How do you coach students who often make small errors?,maths
Tension between the most intuitive definition vs. the most common definition of a concept,maths
 Flipped classroom exercises  resources,maths
How do you handle the frustration of having to GRADE student exams / homework?,maths
Analyzing an answer to the following problem  Give meaning to 45+23 analogy,maths
How to make an introductory course on Statistics interesting,maths
Objectives for group work in undergraduate pure maths,maths
 Rough subitising / estimation  for better intuition and ability to apply arithmetic,maths
Should mathematical logic be included in a discrete mathematics course for computer science?,maths
Looking for a collaborative drawing solution,maths
What are different Mathematical concepts which can be introduced to 12-16 year students in an activity based way,maths
If one wants to conduct a 1/2 day workshop in Mathematics for 12-16 year old students - how one should go about preparing the workshop,maths
Different Teaching Styles for Different Genders?,maths
Not sure what a student is misunderstanding on this Stat question,maths
Big list of  interesting  abstract vector spaces,maths
Teaching Mathematics to a Machine Learning Class,maths
How to get student with ADHD to practice exercises consistently,maths
Does the way we often introduce the concept of a function make sense?,maths
Standards based grading design principles,maths
How to explain loss of significance in numerical analysis?,maths
What is the expected fluency with fractions at UK key stage 3?,maths
Teaching LU Factorization in a sophomore-level Linear Algebra course,maths
A smart student that struggles in exams,maths
Creating best hand on activities on how to teach equal sharing with fractions in grade 3,maths
Should I gave a make up lecture if some students found what I taught is a bit unclear?,maths
Poll software used for live quiz,maths
Dealing with disagreeable students and not compromising,maths
The value of making students copy your derivations exactly,maths
How to keep students  attention while teaching a proof?,maths
Getting students to actually read definitions,maths
How many zeros do we need to add to get a nonzero value?,maths
"implicit differentiation, formula of a tangent line",maths
Singapore Math textbooks for secondary/ high school ?,maths
What is the rationale for distinguishing between proper and improper fractions?,maths
How to train facility with numbers?,maths
Which context of the two contexts of the linear function concept should be taught first?,maths
Quiz in locked mode without managed Chromebooks?,maths
Student asked me if it is necessary to simplify fractions at the end of answering a question. I m not sure how to respond,maths
Rational Powers of Negative Numbers on Basic Calculators,maths
Teaching Solving Linear Equations before teaching evaluating expressions,maths
How to balance between teaching to the standardized test vs understanding?,maths
"Why is there a disconnect in the usage of  domain  between high school and higher mathematics, and where does it come from?",maths
Advice on how to tutor a twelve year old that starts to cry?,maths
More advanced  free  alternatives to Geogebra and Math3D?,maths
How do I explain the distributivity of multiplication to a student without using the analogy of areas?,maths
How to encourage young student to think in unusual ways?,maths
Questions to help better understand the textbook,maths
"How can 17 y.o. high school students intuit that P n, r  stops at n? r?1 n? r?1 , not n?rn?r?",maths
"Good exercises that force you to apply the definition of the derivative, without explicitly telling you to do so?",maths
Maximize retention,maths
A game that is between Noughts and Crosses and Sprouts for complexity?,maths
what is a good student grouping in this situation?,maths
How and what to teach on a second year Engineering Mathematics?,maths
Which whiteboard/canvas app with custom background and color options,maths
What is the right feedback for incorrect cancellation?,maths
Tips for teaching mathematics with experiments?,maths
Category theory without categories and without theory,maths
Should one teach to use equality or isomorphism in particular groups?,maths
Conferences dealing w/challenges of teaching higher level math to STEM audiences,maths
Visual aids for understanding group theory,maths
Middle school math games for the parking lot,maths
Is there a good Animation to explain Rotational Symmetry of Equilateral triangle,maths
Program for visualizing trajectories for a 2D system of linear differential equations,maths
Long division layout in French-speaking Switzerland,maths
What kind of general advice for studying math we can offer undergraduate studens who do not major in math?,maths
What should be memorized in math and what should be reference table?,maths
Resources for Teaching Parameterization of Curves/Surfaces,maths
Student forgets to remove dx after integrating,maths
How can you elicit the logx=log?xlog?x=log?x error?,maths
Importance of exploring skills in mathematics,maths
How to create a platform for students asking questions quickly and privately?,maths
What software can I use for remote math tutoring?,maths
Motivating Students Through  Random Teaching ,maths
How to differentiate the two notions of convergence order?,maths
Do horizontal asymptote rules require function to be fully simplified?,maths
Looking for Venn Diagram Maker,maths
Problem solving or question answering,maths
Games suitable for high school level teaching,maths
video tutorials by students for classmates - concerns?,maths
Calculus/analysis as basis for basic school topics,maths
Workflow for class notes/slides and examples?,maths
When is the best time to return a graded assessment?,maths
Write y=3+x?????y=3+x as the composite of two functions,maths
"As a tutor, should I make students who did badly on timed, closed book past paper tests, do the exact same test again?",maths
Online homework systems for ordinary differential equations,maths
Is there a easy-to-use program that can make a GIF / Video in which an equation is transformed?,maths
Does induction really avoid proving an infinite number of claims?,maths
How can a teacher help a student who has internalized mistakes?,maths
"Why must most adults slog at exercises to improve at Math, but not driving that AI still can t automate?",maths
Why can t students master math simply by passive reading?,maths
How to teach the concept of probability distribution?,maths
Suggestion for IB program Analysis and Approaches SL book?,maths
Math curricula\programs or any experience using  The Road to Reality  as the\a primary textbook,maths
What is the maximum value of the sum of the digits of the sum of the digits of a three-digit number?,maths
Proof by Contradiction vs. Proof of Negation,maths
Which are the most used Greek letters in math textbooks?,maths
Introduction of group action as morphism of groups,maths
Common mistakes in probability,maths
‘Lies to children’ in mathematics and statistics education,maths
f x+h  in the difference quotient,maths
"Word for an object being extended  Given F, a function that extends F is called an extension and F is called the extension __?",maths
How to formalize high-school  Euclidean  geometry?,maths
Elementary Teacher Math specialist/ Basic Math Minor,maths
Difference between the Cambridge IGCSE 0580 and 0607 mathematics courses,maths
Is there a fair way to increase the grade of students who did not do well in exams?,maths
How do you describe your experience using OER textbooks for calculus?,maths
Mathematical induction without simplifying equations or inequalities,maths
Multiple proofs for the same problem,maths
How to give exercises when students can use ChatGPT,maths
Questions to test highest level of competency,maths
How to teach that 10000x210000x2 c22m22 is wrong?,maths
Resources for teaching decimal numbers,maths
Process of finding limits for multivariable functions,maths
Do any middle-school texts indicate that irrationality requires proof?,maths
Discrete Probability Modeling with Desmos or Spreadsheets,maths
Any online resources explaining why rearrangement of terms occurs in a particular order,maths
Are there any fun toy applications of representation and character theory for finite groups to physics?,maths
Topics covered in Calculus I and II  university level  that aren t covered in the AP Curriculum,maths
Activities that encourage students to create or evaluate mathematical notations,maths
What evidence is there in the literature that lessons geared towards dyslexic student help non-dyslexic students?,maths
How can we best motivate the study of polynomials to high-school students?,maths
How to teach pure mathematics to a well-educated adult who did badly in maths at school,maths
How to explain square meters?,maths
