Question,Date,Answer,Student or Teacher or neither,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology
Should one teach to use equality or isomorphism in particular groups?,02/03/2022,3,t,,,,1,,,,,,,,,,,,,,,,,1
Conferences dealing w/challenges of teaching higher level math to STEM audiences,08/03/2022,1,t,,1,,1,,,,,,,,,,,,,,,,,
"Concrete vectors spaces without an obvious basis or many ""obvious"" bases?",08/03/2022,18,t,,,,1,,,,,,,,,,,,,,,,,
Valid Reasons in Two-Column Geometry Proofs,09/03/2022,1,t,,,,,,,,,,,,,,,,,,,,,1
Visual aids for understanding group theory,11/03/2022,3,t,,,,1,,,,,,,,,,,,,,1,,,
What should I do if students did very poorly in the mid-term exam?,13/03/2022,5,t,,,,,,1,,,,,,,,,,,,,,,
Should we use quizzes to replace homeworks?,14/03/2022,3,t,,,,,,1,,,,,,,,,,,,,,,
AP Calculus BC Guidance,15/03/2022,1,t,,,,,,,,,,,,,,,,,,,1,,
Middle school math games for the parking lot,16/03/2022,3,t,,,,,,,,,,,,,,,,,,1,,1,
Resource for International Comparison of Math Education Logistics,16/03/2022,1,t,,,,,,,,,,,,,,,,,,1,,,
Is there a good Animation to explain Rotational Symmetry of Equilateral triangle,17/03/2022,2,t,,,,,,,,,,,,,,,,1,,1,,,
Program for visualizing trajectories for a 2D system of linear differential equations,18/03/2022,2,t,,,,,,,,,,,,,,,,1,,1,,,
Should an undergraduate math program contain a course on Lebesgue integration?,23/03/2022,5,t,,,,,,,,,,,,,,,,,,,1,,
What are examples of math-themed sci-fi appropriate for students?,24/03/2022,10,t,,,,,,,,,,,,,,,,,,1,,,
Creative problems in 2D vector geometry,25/03/2022,7,t,,,,1,,,,,,,,,,,,,,,,,
Long division layout in French-speaking Switzerland,01/04/2022,0,t,,,,,,,,,,,,,,,,,,,1,,1
What kind of general advice for studying math we can offer undergraduate studens who do not major in math?,02/04/2022,1,t,,,,,,,,1,,,1,,,,,,,,,,
What should be memorized in math and what should be reference table?,03/04/2022,6,t,,,,1,,,,,,,,,,,,,,,1,,
Resources for Teaching Parameterization of Curves/Surfaces,10/04/2022,1,t,,,,1,,,,,,,,,,,,,,1,,,
References for mathematical notation for foreign students in the U.S,14/04/2022,0,t,,,,,,,,,,,,,,,,,,,,,1
Finding an analogy to explain the function of a binary adder,20/04/2022,6,t,,,,1,,,,,,,,,,,,,,,,,
Student forgets to remove dx after integrating,21/04/2022,4,t,,,,,,,,1,,,,,,,,,,,,,1
Real-world applications of taxicab metric,22/04/2022,2,t,,,,1,,,,,,,,,,,,,,,,,
"What term describes the relationship between tenth, hundredth, thousandth and the number ten?",23/04/2022,5,t,,,,,,,,,,,,,,,,,,,,,1
How can you elicit the logx=log⋅xlog⁡x=log⋅x error?,25/04/2022,3,t,,,,1,,,,1,,,,,,,,,,,,,
Where can I find a collection of bad/misleading data visualizations?,25/04/2022,2,t,,,,,,,,,,,,,,,,,,1,,,
What are best practices for building a dedicated space for mathematics majors?,26/04/2022,7,t,,,,,,,,,,,,,,,,,,1,,,
What are some examples of great functions that are not too elementary (easy)?,26/04/2022,3,t,,,,1,,,,,,,,,,,,,,,,,
How well can students learn abstract concepts through concrete examples?,27/04/2022,1,t,,,,1,,,,,,,,,,,,,,,,,
Is it considered a mistake to use different correct notation for writing intervals?,01/05/2022,5,t,,,,,,,,,,,,,,,,,,,,,1
Equation of a straight line on two dimensional Cartesian plane,01/05/2022,3,t,,,,1,,,,,,,,,,,,,,,,,
Explaining why volume of cone is a third of cylinder,02/05/2022,4,t,,,,1,,,,,,,,,,,,,,,,,
Examples of relations that are not functions,03/05/2022,14,t,,,,1,,,,,,,,,,,,,,,,,
Is there anything one can do for students who have given up?,05/05/2022,3,t,,,,1,,,,,,,,,,,,,,,,,
"Generating exercises about extrema of f(x,y)",08/05/2022,0,t,,,,,,,,,,,,,,,,,,1,,,
Importance of exploring skills in mathematics,12/05/2022,2,t,,,,1,,,,,1,,,,,,,,,,,,
How to create a platform for students asking questions quickly and privately?,18/05/2022,1,t,,,,,,,,1,,,,,,,,,,1,,,
How can I improve my Retake Policy?,19/05/2022,3,t,,,,,,1,,,,,,,,,,,,,,,
Simple way to explain Sine theorem applications,22/05/2022,1,t,,,,1,,,,,,,,,,,,,,,,,
How to let students answer a Moodle Quiz by typing (or pasting) LaTeX code?,24/05/2022,0,t,,,,,,,,,,,,,,,,1,,,,,
What software can I use for remote math tutoring?,28/05/2022,0,t,,,,,,,,,,,,,,,,1,,1,,,
Multivariable Calculus Project Ideas,01/06/2022,1,t,,,,,,,,,,,,,,,,,,1,,,
"Motivating Students Through ""Random Teaching""",07/06/2022,2,t,,,,,,,,,,,,,,,,,,1,,1,
How do I teach the difference between Linear Equations and Equation of a Line,14/06/2022,5,t,,,,,,,,,,,,,,,,,,,,,1
"For students who don't have instant recall with basic arithmetic, should I be stubborn about training them to have instant recall before moving on?",16/06/2022,4,t,,,,,,,,,,,,,,,,,,,1,,
What is the MOST efficient paper/mental multiplication algorithm for integers?,16/06/2022,2,t,,,,1,,,,,,,,,,,,,,,,,
Explaining difference between improper integrals that converge and diverge,22/06/2022,5,t,,,,1,,,,,,,,,,,,,,,,,
Symmetry of mathematical expressions in problem solving,27/06/2022,0,t,,,,1,,,,,1,,,,,,,,,1,,,
Tangent line to a curve,28/06/2022,2,t,,,,,,,,,,,,,,,,,,,,,1
Importance of standardization of definitions of mathematical terms,06/07/2022,2,t,,,,,,,,,,,,,,,,,,,,,1
Reasoning outcomes of simplifications involving infinity,07/07/2022,4,t,,,,1,,,,,,,,,,,,,,,,,
What are the essential mathematics skills that uni based STEM math educators want high school to teach students?,09/07/2022,6,t,,,,,,,,,,,,,,,,,,,1,,
How to differentiate the two notions of convergence order?,11/07/2022,1,t,,,,1,,,,,,,,,,,,,,,,,1
Skipping a calculus topic (squeeze theorem),21/07/2022,4,t,,,,,,,,,,,,,,,,,,,1,,
The Interleaving Effect: How widely is this used?,21/07/2022,1,t,,,,1,,,,,,,,,,,,,,,,,
Ideas for game-theoretic meta contest problems for HS students,27/07/2022,1,t,,,,,,,,,,,,,,,,,,1,,,
Do horizontal asymptote rules require function to be fully simplified?,29/07/2022,2,t,1,,,1,,,,,,,,,,,,,,,,,
Looking for Venn Diagram Maker,03/08/2022,2,t,,,,,,,,,,,,,,,,1,,1,,,
Is coefficient same as constant?,04/08/2022,2,t,,,,,,,,,,,,,,,,,,,,,1
"Educators, what resources have you built to better serve your students?",08/08/2022,6,t,,,,,,,,,,,,,,,,,,1,,,
What value is there in requiring students to declare the dimensions of an answer when it is already clear from context?,08/08/2022,6,t,,,,,,,,,,,,,,,,,,,,,1
Problem solving or question answering,08/08/2022,1,t,,,,1,,,,,1,,,,,,,,,,,,
Policies and practices for supporting students in crisis,10/08/2022,4,t,,,,,,,,,,,,,,,,,,,,,
Reduction of fractions,11/08/2022,3,t,,,,1,,,,,,,,,,,,,,,,,
Should/ how should I help students reframe their negative thoughts about their own mathematical abilities?,12/08/2022,3,t,,1,,1,,,,,,,1,,,,,,,,,,
Games suitable for high school level teaching,14/08/2022,3,t,,,,,,,,,,,,,,,,,,1,,1,
Favorite linear programming (not integer) examples?,15/08/2022,1,t,,,,1,,,,,,,,,,,,,,,,,
math syllabus US education system 1-12th Grade,16/08/2022,1,t,,,,,,,,,,,,,,,,,,1,,,
Applications for logarithms in a business math course,17/08/2022,7,t,,,,1,,,,,,,,,,,,,,,,,
What are some rationales to teach Computer Science students Sequences and Series?,19/08/2022,4,t,,,,,,,,,,,,,,,,,,,1,,
Counting principles in combinatorics,21/08/2022,1,t,,,,1,,,,,,,,,,,,,,,,,
Fitch Style Deduction in Non-Logic Classes,22/08/2022,1,t,,,,1,,,,,,,,,,,,,,,,,
Can 5 - 3a be described as five minus three times a?,24/08/2022,2,t,,,,,,,,,,,,,,,,,,,,,1
video tutorials by students for classmates - concerns?,25/08/2022,1,t,,,,1,,,,1,,,,,,,,,,,,,
The two paradigms of seeing a functions,25/08/2022,3,t,,,,,,,,,,,,,,,,,,,,,1
Calculus/analysis as basis for basic school topics,26/08/2022,1,t,,,,1,,,,,,,,,,,,,,1,,,
Why is calculus important for pre-service Math basic school teachers?,26/08/2022,6,t,,,,,,,,,,,,,,,,,,,1,,
"Best natural language(s) for conveying, conceptualizing, teaching, understanding, and learning Probabilistic & Statistical concepts & theory?",26/08/2022,2,t,,,,,,,,,,,,,,,,,,,,,1
Workflow for class notes/slides and examples?,29/08/2022,2,t,,,,,,,,,,,,,,,,1,,1,,,
Is there any way of explaining the Cayley/Beltrami–Klein metric to undergrads?,03/09/2022,0,t,,,,1,,,,,,,,,,,,,,,,,
When is the best time to return a graded assessment?,05/09/2022,4,t,,,,1,,1,,,,,,,,,,,,,,,
What value is there in requiring students to answer word problems in complete sentences?,11/09/2022,7,t,,,,1,,,,,,,,,,,,,,,,,
Manipulative materials to teach functions,13/09/2022,0,t,,,,,,,,,,,,,,,,,,1,,,
Which books on geometry and topology are best for teaching an intro graduate course?,20/09/2022,1,t,,,,,,,,,,,,,,,,,,1,,,
Write y=3+x−−−−√y=3+x as the composite of two functions,22/09/2022,7,t,,,,1,,,,,,,,,,,,,,,,,1
Lowercase vs. uppercase letters for matrix entries,23/09/2022,5,t,,,,,,,,,,,,,,,,,,,,,1
"As a tutor, should I make students who did badly on timed, closed book past paper tests, do the exact same test again?",02/10/2022,1,t,,1,,,,,,,,,,,,,,,,1,,,
Algorithm vs guidelines for choosing axes divisions when graphing data,06/10/2022,1,t,,,,1,,,,,,,,,,,,,,,,,
Online homework systems for ordinary differential equations,08/10/2022,3,t,,,,,,1,,,,,,,,,,,,1,,,
Is there a easy-to-use program that can make a GIF / Video in which an equation is transformed?,15/10/2022,0,t,,,,,,,,,,,,,,,,1,,1,,,
Why is a Calculus III student more likely to solve this problem?,16/10/2022,6,t,,,,,,,,,,,,,,,,,,,,,
Should we require students to take notes in class?,18/10/2022,2,t,,,,1,,,,,,,,,,,,,,,,,
Does induction really avoid proving an infinite number of claims?,19/10/2022,7,t,,,,1,,,,,,,,,,,,,,,,,1
Examples of random variables that are measurable with respect to a strict subset of P(Ω),20/10/2022,1,t,,,,1,,,,,,,,,,,,,,,,,
A computer program for learning addition and multiplication table,26/10/2022,0,t,,1,,,,,,1,,,,,,,,,,1,,,
Finite sum of infinite series,28/10/2022,1,t,,,,,,,,,,,,,,,,,,,,,1
How to keep your hands clean while using a blackboard?,31/10/2022,3,t,,,,,,,,,,,,,,,,,,,,,
"What should I do when I, as a math tutor, use incorrect verbal notation?",04/11/2022,0,t,,,,,,,,,,,,,,,,,,,,,1
How can a teacher help a student who has internalized mistakes?,06/11/2022,4,t,,,,1,,,,1,,,,,,,,,,,,,
What do you use to make your course materials?,06/11/2022,0,t,,,,,,,,,,,,,,,,,,1,,,
What is a good pacing for a Calculus 1 undergraduate course?,10/11/2022,2,t,,,,1,,,,,,,,,,,,,,,,,
"Why is there variation in the meaning of ""Standard form"" for a quadratic?",11/11/2022,1,t,,,,,,,,,,,,,,,,,,,,,1
"Why must most adults slog at exercises to improve at Math, but not driving that AI still can't automate?",12/11/2022,3,t,,,,1,,,,,,,1,,,,,,,,,,
Why can't students master math simply by passive reading?,13/11/2022,1,t,,,,1,,,,,,,1,,,,,,,,,,
Help needed to find 7th & 8th grade completed math samples,13/11/2022,1,t,,,,,,,,,,,,,,,,,,1,,,
What do you do in order to drag out lectures?,14/11/2022,8,t,,,,1,,,,,,,,,,,,,,,,,
Encouraging students to see value in things that can't be measured,22/11/2022,3,t,,,,,,,,,,,1,,,,,,,,,,
"How to explain the concept ""Without loss of generality"" (through examples)?",22/11/2022,1,t,,,,1,,,,,,,,,,,,,,,,,
Potential topics for a university level mathematical thinking module,23/11/2022,0,t,,,,,,,,,,,,,,,,,,,1,,
Is this motivation for the concept of a limit a good one?,24/11/2022,6,t,,,,1,,,,,,,,,,,,,,,,,
Online math quiz: students make short video explaining solution,27/11/2022,0,t,,,,,,,,,,,,,,,,,,1,,,
Point Deductions - Exams and Quizzes,28/11/2022,4,t,,,,,,1,,,,,,,,,,,,,,,
"When dealing with sequences, should we teach students to start at 0 or 1?",28/11/2022,1,t,,,,,,,,,,,,,,,,,,,,,1
Quality of a solution in mathematics,01/12/2022,0,t,,,,1,,,,,,,,,,,,,,,,,
How to teach the concept of probability distribution?,06/12/2022,2,t,,,,1,,,,1,,,,,,,,,,,,,
"English version of the ""Spécialité Mathématiques"" French baccalaureate course (for a Ukrainian refugee)?",07/12/2022,0,t,,,,,,,,,,,,,,,,,,1,,,
Suggestions for Virtual Blackboard?,08/12/2022,2,t,,,,,,,,,,,,,,,,,,1,,,
Suggestion for IB program Analysis and Approaches SL book?,10/12/2022,1,t,,,,,,,,1,,,,,,,,,,1,,,
"How to explain to a ~12−1612−16 year-old student who is weak at maths, that  38×27×14=27×14×38 38×27×14=27×14×38?",12/12/2022,11,t,,,,1,,,,,,,,,,,,,,,,,
"Problem set recommendations for a student who has taken classes through Calc III, but has very weak fundamentals",19/12/2022,3,t,,,,,,,,,,,,,,,,,,1,,,
"Math curricula\programs or any experience using ""The Road to Reality"" as the\a primary textbook",26/12/2022,0,t,,,,1,,,,,,,,,,,,,,1,,,
"Students confusing ""object types"" in introductory proofs class",02/01/2023,6,t,,,,,,,,1,,,,,,,,,,1,,,1
What is the maximum value of the sum of the digits of the sum of the digits of a three-digit number?,04/01/2023,3,t,,,,1,,,,,1,,,,,,,,,,,,
How to introduce the use of Greek letters in high school?,07/01/2023,2,t,,,,,,,,,,,,,,,,,,1,,,
Proof by Contradiction vs. Proof of Negation,08/01/2023,3,t,,,,,,,,,,,,,,,,,,1,,,1
Is patching up a student's poor solution better than providing a good solution?,11/01/2023,6,t,,,,,,,,,,,,,,,,,,1,,,
Should one include the unit in the variable? E.g. should one write x∘=30∘x∘=30∘ or x=30∘x=30∘?,12/01/2023,5,t,,,,,,,,,,,,,,,,,,,,,1
Which are the most used Greek letters in math textbooks?,13/01/2023,1,t,,,,,,,,,,,,,,,,,,1,,,1
Example of a phenomenon from real life where there is a limit going to infinity,20/01/2023,2,t,,,,1,,,,,,,,,,,,,,,,,
Best Free Direction Field Plotter?,24/01/2023,1,t,,,,,,,,,,,,,,,,,,1,,,
Introduction of group action as morphism of groups,25/01/2023,2,t,,,,1,,,,,,,,,,,,,,,1,,
Common mistakes in probability,25/01/2023,2,t,,,,,,,,1,,,,,,,,,,1,,,
"When teaching online, how does the teacher teach visual concepts?",25/01/2023,2,t,,,,,,,,,,,,,,,,,,1,,,
‘Lies to children’ in mathematics and statistics education,26/01/2023,20,t,,,,1,,,,,,,,,,,,,,,1,,
Should math for elementary teachers content be taught under the direction of the math department?,27/01/2023,4,t,,,,,,,,,,,,,,,,,,,,,
What is the justification to teach the (redundant) use of parentheses in multiplications?,28/01/2023,1,t,,,,,,,,,,,,,,,,,,,,,1
Research into how students read algebraic expressions,29/01/2023,1,t,,,,,,,,,,,,,,,,,,,1,,
"Are there examples of central symmetry, without axial symmetry, in nature?",30/01/2023,3,t,,,,1,,,,,,,,,,,,,,,,,
How to teach using brackets in sums?,02/02/2023,3,t,,,,,,,,,,,,,,,,,,,,,1
Teaching math too soon in middle school and high school,10/02/2023,8,t,,,,,,,,,,,,,,,,,,,1,,
"What implication arrows, if any, should I require in teaching?",12/02/2023,4,t,,,,,,,,,,,,,,,,,,,,,1
Law of large numbers as a middle school topic?,14/02/2023,1,t,,,,,,,,,,,,,,,,,,,1,,
f(x+h) in the difference quotient,15/02/2023,6,t,,,,1,,,,1,,,,,,,,,,,,,
"Word for an object being extended: Given F, a function that extends F is called an extension and F is called the extension __?",15/02/2023,2,t,,,,1,,,,,,,,,,,,,,,,,1
How to formalize high-school (Euclidean) geometry?,18/02/2023,1,t,1,,,1,,,,,,,,,,,,,,,,,
Composite functions,18/02/2023,3,t,,,,1,,,,,,,,,,,,,,,,,
Elementary Teacher Math specialist/ Basic Math Minor,20/02/2023,2,t,,,,,,,,,,,,,,,,,,1,1,,
Applications of Triangle Inequality for high-school students?,21/02/2023,3,t,,,,1,,,,,,,,,,,,,,,,,
Lateral thinking in mathematics,23/02/2023,2,t,,,,1,,,,,,,,,,,,,,,,,
Definite integrals with equal limits,25/02/2023,3,t,,,,1,,,,,,,,,,,,,,,,,
Difference between the Cambridge IGCSE 0580 and 0607 mathematics courses,25/02/2023,1,t,,,,1,,,,,,,,,,,,,,,1,,
Online platforms for teachers to discuss matters related to mathematics,26/02/2023,1,t,,,,,,,,,,,,,,,,,,1,,,
Is there ADA-compliance certification for mathematics text books?,03/03/2023,0,t,,,,,,,,,,,,,,,,,,1,,,
How do/should administrators estimate the cost of producing an online introductory mathematics class?,04/03/2023,2,t,,,,,,,,,,,,,,,,,,1,,,
Is there a fair way to increase the grade of students who did not do well in exams?,09/03/2023,4,t,,1,,,,1,,,,,,,,,,,,,,,
Pi Day is approaching: What are some interesting math questions whose answer is exactly ππ?,10/03/2023,6,t,,,,,,,,,,,,,,,,,,,,1,
What to cover on a first ordinary differential equations module?,13/03/2023,0,t,,,,,,,,,,,,,,,,,,,1,,
"What should I call the ""important"" values of x?",16/03/2023,5,t,,,,,,,,,,,,,,,,,,,,,1
Homework in a Flipped Classroom,16/03/2023,1,t,,,,,,1,,,,,,,,,,,,,,,
"When writing log, do you indicate the base, even when 10?",16/03/2023,5,t,,,,,,,,,,,,,,,,,,,,,1
Geometrical approaches in algebra,17/03/2023,3,t,,,,1,,,,,,,,,,,,,,,,,
How do you describe your experience using OER textbooks for calculus?,19/03/2023,1,t,,,,1,,,,,,,,,,,,1,,,,,
Mathematical induction without simplifying equations or inequalities,19/03/2023,2,t,,,,,,,,,,,,,,,,,,1,,1,
Multiple proofs for the same problem,20/03/2023,2,t,,,,,,,,,1,,,,,,,,,1,,,
How to give exercises when students can use ChatGPT,21/03/2023,16,t,,,,1,,,,,,,,,,,,1,,,,,
Questions to test highest level of competency,24/03/2023,3,t,,1,,,,1,,,,,,,,,,,,,,,
Impact of GPT4 and future AI development on math curricula in schools,24/03/2023,1,t,,,,,,,,,,,,,,,,,,,1,,
Teaching Clifford Algebra Instead of Imaginary/Complex Numbers,25/03/2023,4,t,,,,,,,,,,,,,,,,,,,1,,
How to teach that 10000x210000x2 c22m22 is wrong?,26/03/2023,3,t,,,,1,,,,,,,,,,,,,,,,,1
Parentheses around negative numbers,28/03/2023,4,t,,,,,,,,,,,,,,,,,,,,,1
What is an example of something you might see outside of math class and how would you model that thing as a set?,29/03/2023,5,t,,,,1,,,,,,,,,,,,,,,,,
Best category theory textbook for undergraduate students,31/03/2023,5,t,,,,,,,,,,,,,,,,,,1,,,
Interpreting the derivative as instantaneous rate of change in real phenomena,31/03/2023,3,t,,,,,,,,,,,,,,,,,,,,,1
A better example of a logical implication,02/04/2023,4,t,,,,1,,,,,,,,,,,,,,,,,
Seeking Advice on Allowing Students to Skip a Quiz in Linear Algebra Course,06/04/2023,4,t,,,,,,1,,,,,,,,,,,,,,,
What is the best didactical way to read decimal numbers?,11/04/2023,1,t,,,,,,,,,,,,,,,,,,,,,1
Triples or triplets in Pythagoras theorem,12/04/2023,1,t,,,,,,,,,,,,,,,,,,,,,1
Resources for teaching decimal numbers,15/04/2023,2,t,,1,,,,,,,,,,,,,,,,1,,,
Process of finding limits for multivariable functions,16/04/2023,2,t,1,,,1,,,,,,,,,,,,,,,,,
"Comparison of texbook for ""how to write proofs""",19/04/2023,0,t,,,,,,,,,,,,,,,,,,1,,,
Simple examples of how a good notation or diagram can help to solve math problems,19/04/2023,5,t,,,,,,,,,,,,,,,,,,1,,,
simpson paradox in classroom: reports?,20/04/2023,0,t,,,,,,,,,,,,,,,,,,1,,,
"What are ""must read""/classical refences on data aggregation/disaggregation in statistics?",20/04/2023,1,t,,,,,,,,,,,,,,,,,,1,,,
Do any middle-school texts indicate that irrationality requires proof?,20/04/2023,7,t,,,,1,,,,,,,,,,,,,,1,,,
Discrete Probability Modeling with Desmos or Spreadsheets,20/04/2023,1,t,,,,1,,,,,,,,,,,,,,1,,,
Any online resources explaining why rearrangement of terms occurs in a particular order,21/04/2023,2,t,,,,1,,,,,,,,,,,,,,1,,,
What is the terminology for integers with the same oddness or evenness?,23/04/2023,1,t,,,,,,,,,,,,,,,,,,,,,1
Differentiation in integer solutions,23/04/2023,2,t,,,,1,,,,,,,,,,,,,,,,,
Are Error-Analysis Lessons Effective?,23/04/2023,5,t,,,,1,,,,,,,,,,,,,,,,,
Why don’t we teach a topological view of continuity instead of epsilon-delta?,24/04/2023,8,t,,,,1,,,,,,,,,,,,,,,,,
Importance of etymological approach to terminology,02/05/2023,1,t,,,,,,,,,,,,,,,,,,,,,1
congruency: how widely used?,05/05/2023,0,t,,,,,,,,,,,,,,,,,,,,,1
"What is the origin of ""Core Assessment"" for freshman university classes?",05/05/2023,0,t,,,,,,1,,,,,,,,,,,,,,,
Assigning essays in take home exams,08/05/2023,0,t,,,,,,1,,,,,,,,,,,,,,,
Are there any fun toy applications of representation and character theory for finite groups to physics?,10/05/2023,0,t,,,,1,,,,,,,,,,,,,,,,1,
Why do we teach linear algebra in precalculus classes?,11/05/2023,4,t,,,,,,,,,,,,,,,,,,,1,,
Good analogies for teaching error correcting codes,11/05/2023,4,t,,,,1,,,,,,,,,,,,,,,,,
‘Induction on’ vs ‘Induction with respect to’ in math,13/05/2023,1,t,,,,,,,,,,,,,,,,,,,,,1
"Is it harmful to use the word ""Cancel""?",16/05/2023,9,t,,,,,,,,,,,,,,,,,,,,,1
Adjusting a Bonus Points System to More Equitably Benefit Struggling Students,17/05/2023,5,t,,,,,,1,,,,,,,,,,,,,,,
Infinite descent method,17/05/2023,0,t,,,,1,,,,,,,,,,,,,,,,,
Joint Teaching of a First Year Engineering Maths Class,19/05/2023,1,t,,,,,,,,,,,,,,,,,,,1,,
Are these explanations of variance and covariance intuitive?,20/05/2023,2,t,,,,,,,,,,,,,,,,,,,1,,
Studies on the effects of using online platforms in teaching mathematics on students' beliefs about mathematics,21/05/2023,0,t,,,,,,,,,,,,,,,,,,,,,
Topics covered in Calculus I and II (university level) that aren't covered in the AP Curriculum,22/05/2023,2,t,,1,,,,,,,,,,,,,,,,,1,,
Programming and computation-focused textbook for introductory linear algebra,23/05/2023,2,t,,,,,,,,,,,,,,,,,,1,,,
Activities that encourage students to create or evaluate mathematical notations,23/05/2023,0,t,,,,1,,,,,,,,,,,,,,,,,1
Partitioning objects in combinatorics,24/05/2023,1,t,,,,1,,,,,,,,,,,,,,,,,
What evidence is there in the literature that lessons geared towards dyslexic student help non-dyslexic students?,25/05/2023,0,t,,1,,1,,,,,,,,,,,,,,,,,
"Demarcated ""Proof Idea""",27/05/2023,2,t,,,,,,,,,,,,,,,,,,1,,,
Any meaning/interpretation for 10!+11!+12!+…(=e)10!+11!+12!+…(=e) (sum of reciprocals of factorials)?,02/06/2023,8,t,,,,1,,,,,,,,,,,,,,,,,
Whole numbers as sets vs abstracted properties of sets,12/06/2023,3,t,,,,,,,,,,,,,,,,,,,,,1
How can we best motivate the study of polynomials to high-school students?,15/06/2023,7,t,,1,,,,,,,,,1,,,,,,,,,,
How to teach pure mathematics to a well-educated adult who did badly in maths at school,19/06/2023,14,t,,,,1,,,,,,,,,,,,,,1,,,
how to read binary numbers?,23/06/2023,2,t,,,,,,,,,,,,,,,,,,,,,1
What is the dimension of RR over QQ?,24/06/2023,2,t,,,,1,,,,,,,,,,,,,,,,,
Where to distribute free math ed materials for informal settings?,29/06/2023,1,t,,,,,,,,,,,,,,,,,,1,,,
Is it better to teach category theory in the background of type theory than set theory?,04/07/2023,0,t,,,,,,,,,,,,,,,,,,,1,,
Pythagoras and Trigonometry sequencing,06/07/2023,1,t,,,,,,,,,,,,,,,,,,,1,,
do you know a mind-boggling/curious historical facts that will inspire and attract young people?,08/07/2023,3,t,,,,,,,,,,,,,,,,,,1,,,
How to explain that integral calculate areas?,13/07/2023,7,t,,,,1,,,,,,,,,,,,,,,,,
Sources on inequity in precalculus sequence,14/07/2023,1,t,,,,,,,,,,,,,,,,,,,1,,
"Are there differences between graphs, diagrams and charts?",15/07/2023,1,t,,,,,,,,,,,,,,,,,,,,,1
What's it called when multiple concepts are combined into a single problem?,16/07/2023,3,t,,,,,,,,,,,,,,,,,,,,,1
What mathematical topics are important for succeeding in an undergrad PDE course?,29/07/2023,4,t,,1,,,,,,1,,,,,,,,,,,1,,
A Question about Answer Keys,30/07/2023,1,t,,,,,,,,,,,,,,,,,,1,,,
"If a student earns a non-ABET accredited engineering degree, when can they take the FE or PE exam?",31/07/2023,0,t,,,,,,,,,,,,,,,,,,,,,
Models for spherical geometry,31/07/2023,5,t,,,,1,,,,,,,,,,,,,,,,,
Limitations of applying the factor theorem,11/08/2023,1,t,,,,1,,,,,,,,,,,,,,,,,
How to explain square meters?,11/08/2023,2,t,,,,1,,,,,,,,,,,,,,,,,1
"Course materials for developing a mathematical theory from ""natural questions to ask""",14/08/2023,0,t,,,,1,,,,,,,,,,,,,,1,,,
Is there a preferred way to format a negative exponent?,19/08/2023,3,t,,,,,,,,,,,,,,,,,,,,,1
highschool's mathematics journal which citable in Google Scholar,20/08/2023,1,t,,,,,,,,,,,,,,,,,,,,,
"Scepticism as the cornerstone for not making mistakes in arithmetic/algebra etc, especially for students who relentlessly make every possible error",21/08/2023,2,t,,,,1,,,,1,,,,,,,,,,,,,
How to convince a student without calculus that great circles are geodesics in a sphere?,23/08/2023,7,t,,,,1,,,,,,,,,,,,,,,,,
"In math exams, how rigorous should the questions be?",24/08/2023,1,t,,,,,,1,,,,,,,,,,,,,,,1
Geometric line: constructing fractions,25/08/2023,2,t,1,,,,,,,,,,,,,,,,,,,,
How to properly define volume for beginner calculus students?,27/08/2023,5,t,,,,,,,,,,,,,,,,,,,,,1
Is it correct to state that a cone has no faces?,27/08/2023,3,t,,,,,,,,,,,,,,,,,,,,,1
Correcting how a student writes symbols,28/08/2023,5,t,,,,,,,,,,,,,,,,,,,,,1
What is important to keep in mind in grading proof-based courses?,29/08/2023,6,t,,,,,,1,,,,,,,,,,,,,,,
What are some good books on mathematical pedagogy?,01/09/2023,7,t,,,,,,,,,,,,,,,,,,1,,,
Recommended online software for Euler method/ODEs,01/09/2023,2,t,,,,,,,,,,,,,,,,,,1,,,
Remote Teaching by Video Conferencing,02/09/2023,1,t,,,,,,,,,,,,,,,,1,,1,,,
Why are negative numbers introduced before quotients in the real number subsets?,03/09/2023,4,t,,,,,,,,,,,,,,,,,,,1,,
Looking for web app resources for symbolic Gaussian elimination,11/09/2023,3,t,,,,,,,,,,,,,,,,,,1,,,
Explaining Sigma-Notation,12/09/2023,2,t,,,,1,,,,1,,,,,,,,,,,,,
"Utillizing Lakatos' ""Proofs and Refutations"" in Secondary Education",12/09/2023,2,t,,,,1,,,,,,,,,,,,,,,,,
Graphing lines by finding integer points,12/09/2023,3,t,,,,1,,,,,,,,,,,,,,,,,
Is 'For all xx' an abuse of language in math?,13/09/2023,6,t,,,,,,,,,,,,,,,,,,,,,1
The key didactical ideas on mathematical modelling?,15/09/2023,2,t,,,,1,,,,,,,,,,,,,,,,,
"Does the ""Middle School Mathematics domains"" refer to (I) through (V) topics?",19/09/2023,1,t,,,,,,,,,,,,,,,,,,,1,,
Naming the procedure of converting the place values of digits,19/09/2023,4,t,,,,,,,,,,,,,,,,,,,,,1
What benefit is there to obfuscate the geometry with algebra?,23/09/2023,5,t,,,,,,,,,,,,,,,,,,,1,,
Geometrical verifications for Algebraic formulae,27/09/2023,5,t,,,,1,,,,,,,,,,,,,,,,,
